Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Full Time
51B0230,433936,428874,1,6,U,1,4,1,E08000035,9,3,3,2,87,2018-01-11 07:00:00
51B0349,430076,433872,1,6,U,2,1,1,E08000035,11,2,3,2,60,2018-01-11 08:55:00
51B0349,430076,433872,1,6,U,2,1,1,E08000035,11,2,3,2,51,2018-01-11 08:55:00
51B0349,430076,433872,1,6,U,2,1,1,E08000035,11,2,3,2,50,2018-01-11 08:55:00
51B0349,430076,433872,1,6,U,2,1,1,E08000035,11,2,3,2,51,2018-01-11 08:55:00
51B0349,430076,433872,1,6,U,2,1,1,E08000035,11,2,3,2,38,2018-01-11 08:55:00
51B0632,428627,432517,2,3,A643,2,1,1,E08000035,9,1,3,2,47,2018-01-10 10:14:00
51B0975,424572,434438,2,6,U,1,1,1,E08000035,9,2,3,2,13,2018-01-11 15:00:00
51B1212,423190,434659,2,6,U,2,4,1,E08000035,9,1,3,2,47,2018-01-11 16:59:00
51B1241,431320,433911,1,6,U,1,1,1,E08000035,11,2,3,2,71,2018-01-11 14:55:00
51B1288,431791,434652,1,6,U,2,1,1,E08000035,11,3,3,2,4,2018-01-11 12:05:00
51B1315,430859,433470,1,6,U,1,4,1,E08000035,11,3,2,1,50,2018-01-11 18:00:00
51B1329,429654,433388,1,6,U,2,4,1,E08000035,8,3,3,2,59,2018-01-11 17:52:00
51C0703,432273,434581,2,6,U,1,1,1,E08000035,2,1,3,1,18,2018-01-13 12:10:00
51C1211,428411,435013,2,6,U,1,1,1,E08000035,9,1,3,1,23,2018-01-12 16:15:00
51C1909,427787,436484,2,4,B6157,2,4,1,E08000035,9,1,3,1,22,2018-01-12 20:45:00
51D0387,422306,445990,1,3,A659,4,1,1,E08000035,5,1,3,1,59,2018-01-13 07:35:00
51D0810,426292,428015,2,4,B6127,1,1,1,E08000035,4,1,3,1,38,2018-01-13 12:55:00
51D1266,431346,433945,2,6,U,1,4,1,E08000035,11,2,3,2,37,2018-01-13 16:48:00
47I1326,431902,434864,2,6,U,1,7,1,E08000035,9,1,3,2,33,2018-02-18 17:58:00
4971519,421169,440497,1,6,U,2,4,2,E08000035,9,1,3,1,72,2018-02-07 19:44:00
4981404,429857,434402,3,2,A58(M),1,7,1,E08000035,9,1,3,2,35,2018-02-08 18:14:00
4981404,429857,434402,3,2,A58(M),1,7,1,E08000035,9,1,3,2,24,2018-02-08 18:14:00
4981404,429857,434402,3,2,A58(M),1,7,1,E08000035,9,1,3,1,60,2018-02-08 18:14:00
5110140,433820,433502,1,6,U,2,4,1,E08000035,9,1,2,1,38,2018-01-01 00:45:00
5110577,430660,430766,1,6,U,2,4,1,E08000035,9,1,3,1,23,2018-01-01 03:44:00
5110577,430660,430766,1,6,U,2,4,1,E08000035,9,2,3,1,23,2018-01-01 03:44:00
5110577,430660,430766,1,6,U,2,4,1,E08000035,9,2,2,1,33,2018-01-01 03:44:00
5111304,431442,432717,2,3,A63,1,1,1,E08000035,9,1,3,2,57,2018-01-01 13:35:00
5111365,429509,431308,2,6,U,2,1,2,E08000035,9,1,3,1,33,2018-01-01 14:21:00
5111365,429509,431308,2,6,U,2,1,2,E08000035,9,2,3,1,18,2018-01-01 14:21:00
